appearanceId,collectionKey,catalogLifecycle,uiLifecycle,reasonCode,displayId,slotKey,primarySourceItemId,worldSourceCount,knownAcquisition,riskSignals
200000,appearance.d242.s8.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,242,FEET,95,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200001,appearance.d245.s8.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,245,FEET,114,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200002,appearance.d249.s8.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,249,FEET,92,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200003,appearance.d257.s8.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,257,FEET,99,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200004,appearance.d261.s8.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,261,FEET,87,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200005,appearance.d295.s8.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,295,FEET,132,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200006,appearance.d311.s8.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,311,FEET,136,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200007,appearance.d365.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,365,LEGS,113,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200008,appearance.d368.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,368,LEGS,91,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200009,appearance.d369.s4.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,369,SHIRT,93,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200010,appearance.d370.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,370,LEGS,104,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200011,appearance.d371.s4.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,371,SHIRT,105,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200012,appearance.d372.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,372,LEGS,100,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200013,appearance.d373.s4.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,373,SHIRT,101,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200014,appearance.d374.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,374,LEGS,88,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200015,appearance.d383.s4.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,383,SHIRT,123,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200016,appearance.d386.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,386,LEGS,135,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200017,appearance.d387.s4.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,387,SHIRT,134,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200018,appearance.d392.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,392,LEGS,150,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200019,appearance.d393.s4.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,393,SHIRT,151,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200020,appearance.d394.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,394,LEGS,156,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200021,appearance.d395.s4.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,395,SHIRT,157,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200022,appearance.d396.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,396,LEGS,128,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200023,appearance.d472.s17.c2.sc10,ACTIVE,unobtainable,NO_KNOWN_ACQUISITION,472,MAINHAND,35,1,False,NO_KNOWN_ACQUISITION
200024,appearance.d685.s7.c4.sc3,ACTIVE,public,TRACEABLE_WORLD_SOURCE,685,LEGS,2166,1,True,
200025,appearance.d687.s7.c4.sc3,ACTIVE,public,TRACEABLE_WORLD_SOURCE,687,LEGS,1735,6,True,
200026,appearance.d691.s7.c4.sc2,ACTIVE,public,TRACEABLE_WORLD_SOURCE,691,LEGS,9808,1,True,
200027,appearance.d697.s7.c4.sc3,ACTIVE,public,TRACEABLE_WORLD_SOURCE,697,LEGS,848,4,True,
200028,appearance.d703.s8.c4.sc2,ACTIVE,public,TRACEABLE_WORLD_SOURCE,703,FEET,1121,1,True,
200029,appearance.d704.s7.c4.sc3,ACTIVE,unobtainable,NO_KNOWN_ACQUISITION,704,LEGS,2543,1,False,NO_KNOWN_ACQUISITION
200030,appearance.d782.s13.c2.sc0,ACTIVE,hidden_internal,REVIEWED_INTERNAL_SIGNAL,782,MAINHAND,27849,1,False,INTERNAL_NAME|NO_KNOWN_ACQUISITION
200031,appearance.d845.s8.c4.sc0,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,845,FEET,2107,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200032,appearance.d859.s21.c2.sc7,ACTIVE,unobtainable,NO_KNOWN_ACQUISITION,859,MAINHAND,945,3,False,NO_KNOWN_ACQUISITION
200033,appearance.d972.s10.c4.sc2,ACTIVE,public,TRACEABLE_WORLD_SOURCE,972,HANDS,1791,1,True,
200034,appearance.d977.s5.c4.sc3,ACTIVE,public,TRACEABLE_WORLD_SOURCE,977,CHEST,1737,7,True,
200035,appearance.d1019.s5.c4.sc3,ACTIVE,public,TRACEABLE_WORLD_SOURCE,1019,CHEST,847,3,True,
200036,appearance.d1057.s3.c4.sc1,ACTIVE,test,REVIEWED_TEST_SIGNAL,1057,SHOULDER,905,1,False,NO_KNOWN_ACQUISITION|TEST_NAME
200037,appearance.d1058.s3.c4.sc1,ACTIVE,test,REVIEWED_TEST_SIGNAL,1058,SHOULDER,906,2,True,TEST_NAME
200038,appearance.d1080.s5.c4.sc2,ACTIVE,unobtainable,NO_KNOWN_ACQUISITION,1080,CHEST,917,1,False,NO_KNOWN_ACQUISITION
200039,appearance.d1115.s21.c2.sc7,ACTIVE,unobtainable,NO_KNOWN_ACQUISITION,1115,MAINHAND,3359,1,False,NO_KNOWN_ACQUISITION
200040,appearance.d1121.s22.c2.sc7,ACTIVE,unobtainable,NO_KNOWN_ACQUISITION,1121,OFFHAND,1018,2,False,NO_KNOWN_ACQUISITION
200041,appearance.d1184.s4.c4.sc4,ACTIVE,unobtainable,NO_KNOWN_ACQUISITION,1184,SHIRT,2248,1,False,NO_KNOWN_ACQUISITION
200042,appearance.d1330.s5.c4.sc2,ACTIVE,unobtainable,NO_KNOWN_ACQUISITION,1330,CHEST,1999,1,False,NO_KNOWN_ACQUISITION
200043,appearance.d1357.s7.c4.sc1,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,1357,LEGS,1398,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200044,appearance.d1515.s21.c2.sc4,ACTIVE,deprecated,REVIEWED_DEPRECATED_SIGNAL,1515,MAINHAND,751,1,False,DEPRECATED_NAME|NO_KNOWN_ACQUISITION
200045,appearance.d1542.s21.c2.sc7,ACTIVE,public,TRACEABLE_WORLD_SOURCE,1542,MAINHAND,25,1,True,
200046,appearance.d1544.s21.c2.sc7,ACTIVE,public,TRACEABLE_WORLD_SOURCE,1544,MAINHAND,1161,3,True,
200047,appearance.d1546.s21.c2.sc7,ACTIVE,public,TRACEABLE_WORLD_SOURCE,1546,MAINHAND,1384,1,True,
200048,appearance.d1547.s13.c2.sc7,ACTIVE,public,TRACEABLE_WORLD_SOURCE,1547,MAINHAND,26053,1,True,
200049,appearance.d1547.s21.c2.sc7,ACTIVE,public,TRACEABLE_WORLD_SOURCE,1547,MAINHAND,1413,2,True,
200050,appearance.d1550.s21.c2.sc7,ACTIVE,public,TRACEABLE_WORLD_SOURCE,1550,MAINHAND,1008,1,True,
200051,appearance.d1600.s17.c2.sc10,ACTIVE,hidden_internal,REVIEWED_INTERNAL_SIGNAL,1600,MAINHAND,1908,1,False,INTERNAL_NAME|NO_KNOWN_ACQUISITION
