candidateKey,itemSetId,name,dbcItems,visibleMembers,appearances,classMode,decision,reasonCode
itemset:241,241,天神碎片,2,0,0,UNRESOLVED,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
itemset:462,462,赞吉尔的专注,2,0,0,UNRESOLVED,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
itemset:464,464,督军的决心,2,0,0,UNRESOLVED,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
itemset:465,465,远古祷言,2,0,0,UNRESOLVED,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
itemset:466,466,极效魔精套装,2,0,0,UNRESOLVED,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
itemset:667,667,双子星,2,0,0,UNRESOLVED,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
itemset:700,700,残酷角斗士的保护,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:701,701,残酷角斗士的战甲,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:702,702,残酷角斗士的鬼纹,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:703,703,残酷角斗士的震撼,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:704,704,残酷角斗士的魔能套装,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:705,705,残酷角斗士的天职,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:706,706,残酷角斗士的猎装,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:707,707,残酷角斗士的神服,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:708,708,残酷角斗士的救赎,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:709,709,残酷角斗士的庇护,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:710,710,残酷角斗士的法衣,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:711,711,残酷角斗士的圣装,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:712,712,残酷角斗士的雷霆之拳,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:713,713,残酷角斗士的套装,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:714,714,残酷角斗士的辩护,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:715,715,残酷角斗士的战争之潮,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:716,716,残酷角斗士的野性之皮,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:720,720,复仇角斗士的庇护,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:721,721,复仇角斗士的圣装,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:722,722,复仇角斗士的野性之皮,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:723,723,复仇角斗士的猎装,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:724,724,复仇角斗士的法衣,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:725,725,复仇角斗士的救赎,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:726,726,复仇角斗士的辩护,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:727,727,复仇角斗士的保护,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:728,728,复仇角斗士的天职,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:729,729,复仇角斗士的神服,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:730,730,复仇角斗士的套装,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:731,731,复仇角斗士的战争之潮,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:732,732,复仇角斗士的震撼,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:733,733,复仇角斗士的雷霆之拳,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:734,734,复仇角斗士的鬼纹,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:735,735,复仇角斗士的魔能套装,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:736,736,复仇角斗士的战甲,0,0,0,UNRESOLVED,excluded,EMPTY_ITEMSET_ROW
itemset:737,737,拉托恩的疾风,2,1,1,ANY,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
itemset:759,759,蕾妮的复仇,2,0,0,UNRESOLVED,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
itemset:881,881,纯净的天神碎片,2,0,0,UNRESOLVED,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
itemset:882,882,闪亮的天神碎片,2,0,0,UNRESOLVED,deferred,FEWER_THAN_TWO_VISIBLE_CANONICAL_APPEARANCES
