legacyId,itemId,spellId,name_zhCN,decision,reasonCode,riskFlags
1,17712,21848,冬幕伪装包,deferred,MATERIAL_AND_SEASONAL_SCRIPT_REQUIRES_DEDICATED_HANDLER_REVIEW,MATERIAL;SEASONAL
2,18660,23126,世界放大器,deferred,PROFESSION_REQUIREMENT_AND_NATIVE_ITEM_CONTEXT_UNVERIFIED,AREA
3,18986,23453,安全传送器：加基森,deferred,TELEPORT_ACTION_EXCLUDED_FROM_FIRST_BATCH,TELEPORT;AREA
4,19026,11544,长蛇焰火,deferred,CONSUMABLE_FIREWORK_REQUIRES_MATERIAL_POLICY,MATERIAL;WORLD_OBJECT
5,21540,26265,艾露恩的灯笼,deferred,CREATE_ITEM_SEASONAL_ACTION_EXCLUDED_FROM_FIRST_BATCH,ITEM_CREATE;SEASONAL
6,21589,26333,大型蓝色烟花,deferred,CONSUMABLE_SUMMON_ACTION_EXCLUDED_FROM_FIRST_BATCH,MATERIAL;WORLD_OBJECT
8,23767,30261,打架机器人,deferred,COMBAT_CREATURE_SUMMON_EXCLUDED_FROM_FIRST_BATCH,WORLD_OBJECT;COMBAT
9,23821,30427,气阀微粒提取器,deferred,PROFESSION_ECONOMY_EXTRACTION_ACTION_EXCLUDED,ECONOMY;ITEM_CREATE;MATERIAL
10,30542,36890,空间撕裂器 - 52区,deferred,TELEPORT_ACTION_EXCLUDED_FROM_FIRST_BATCH,TELEPORT;AREA
11,32542,40527,球中的小鬼,deferred,UNHANDLED_RANDOM_SCRIPT_EFFECT_HAS_NO_PROVABLE_SERVER_RESULT,
13,34480,45094,浪漫午餐篮,deferred,MULTI_EFFECT_SEASONAL_WORLD_OBJECT_EXCLUDED,WORLD_OBJECT;SEASONAL
17,38301,50317,跳舞球,deferred,CREATURE_SUMMON_WORLD_OBJECT_EXCLUDED_FROM_FIRST_BATCH,WORLD_OBJECT
18,38506,52172,卡洛斯的著名帽子,deferred,EQUIPPED_ITEM_AND_SECONDARY_EFFECT_CONTEXT_UNVERIFIED,WORLD_OBJECT
19,38578,51640,强者的旗帜,deferred,PVP_TARGETED_SCRIPT_ACTION_EXCLUDED_FROM_FIRST_BATCH,COMBAT;AREA;WORLD_OBJECT
20,40768,54710,随身邮箱,deferred,SERVICE_OBJECT_WITH_ECONOMY_ACCESS_EXCLUDED,ECONOMY;WORLD_OBJECT
22,43824,59317,奥术魔法的学派 - 精通,deferred,TELEPORT_ACTION_EXCLUDED_FROM_FIRST_BATCH,TELEPORT;AREA
24,44606,61031,玩具火车,deferred,PERSISTENT_WORLD_OBJECT_EXCLUDED_FROM_FIRST_BATCH,WORLD_OBJECT
25,45063,62985,泡沫塑料剑架,deferred,ITEM_DISTRIBUTION_WORLD_OBJECT_EXCLUDED,ITEM_CREATE;WORLD_OBJECT;SEASONAL
26,46780,65783,食人魔皮纳塔,deferred,REWARD_CREATURE_AND_ITEM_GENERATION_EXCLUDED,ITEM_CREATE;WORLD_OBJECT
27,48933,67833,虫洞生成器：诺森德,deferred,TELEPORT_SERVICE_CREATURE_EXCLUDED_FROM_FIRST_BATCH,TELEPORT;AREA;WORLD_OBJECT
28,49703,30161,永久紫色烟花,deferred,UNHANDLED_SCRIPT_EFFECT_HAS_NO_PROVABLE_SERVER_RESULT,WORLD_OBJECT
29,50471,71909,裂心者,deferred,SEASONAL_TARGET_POLICY_AND_BEHAVIOR_UNVERIFIED,SEASONAL;AREA
31,54651,75531,诺莫瑞根的荣耀,deferred,SEASONAL_SOURCE_ACTION_DEFERRED_PENDING_DEDICATED_CLIENT_PROOF,SEASONAL
32,46779,65745,塞纳留斯之路,deferred,CONSUMABLE_AURA_REQUIRES_MATERIAL_POLICY,MATERIAL
33,40769,54711,废物贩卖机器人制造器,deferred,CONSUMABLE_ECONOMY_SERVICE_CREATURE_EXCLUDED,ECONOMY;MATERIAL;WORLD_OBJECT
34,49040,67826,基维斯,deferred,ECONOMY_SERVICE_CREATURE_EXCLUDED_FROM_FIRST_BATCH,ECONOMY;WORLD_OBJECT
36,45057,62949,发条式火车破坏者,deferred,CREATURE_SUMMON_WORLD_OBJECT_EXCLUDED_FROM_FIRST_BATCH,WORLD_OBJECT
