appearanceId,collectionKey,scope,terminalStatus,assetStatus,presentationStatus,reasonCodes,missingRelativePaths,slotKey,route,sourceSide,primarySourceItemId,primaryItemLevel,nativeDisplayId,modelPath,skinPath,displayTexturePath,modelSignature,geometryKey,textureKey,displayKey,modelId,syntheticDisplayId,allocationStatus,cameraPreset,shapeClass,extentRatio,radius,cameraLayout,cameraNotes,outlierReasons
200023,appearance.d472.s17.c2.sc10,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,35,2,472,item\objectcomponents\weapon\stave_2h_long_a_01.m2,item\objectcomponents\weapon\stave_2h_long_a_0100.skin,item\objectcomponents\weapon\stave_2h_long_a_01teal.blp,m2:b2cd4fde5787cb382d2935f23b09d98272d696abeb5b8619e3a0a755eb240be4,c41d2149568e6fb81da6bde0c231a7f548068044ebfe1e096a260a67312f9578,4be1bb155a6ad26a48702b2622c6ba94bbf04ae5258ad63f156d17c4555863ca,a7d5990aa452d50d6f7b67aee0179ad5349f07dca91d7795c47ada5490db6f1c,,,,STAFF,LONG_AXIS,11.71882,0.772769,CAMERALESS,,
200030,appearance.d782.s13.c2.sc0,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,27849,0,782,item\objectcomponents\weapon\axe_2h_battle_b_01.m2,item\objectcomponents\weapon\axe_2h_battle_b_0100.skin,item\objectcomponents\weapon\axe_2h_battle_b_01.blp,m2:82c98f61a2b9c69a1ef5df104bf3e50e7a66e6d94fbd680f816ecb1ea86f41e6,c0b3cb6f1df373329ea442921ffdb81cde396fc261ceddfb86224cd245ff9c0b,06a61c62047b75330455c37b1539349b3a87fe12a2e58c4a478bcdc7d88f6388,47382c2483ce7171fdb0463a55a60940148749756e3ece4134e7678b762bb92f,,,,ONE_HAND_AXE,LONG_AXIS,12.685538,0.650709,CAMERALESS,,
200032,appearance.d859.s21.c2.sc7,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,945,1,859,item\objectcomponents\weapon\sword_1h_machete_a_01.m2,item\objectcomponents\weapon\sword_1h_machete_a_0100.skin,item\objectcomponents\weapon\sword_1h_machete_a_01_v01.blp,m2:f633a3f8679ea97c0e32370728136f5f51ec3b4ed8db57c0a34924dcbc7c2e61,a0453e8c60f4d4c66c40024962a633c05a7d66172d2a804de6036abe5e6dc2e4,30c18f447205efe96ea2b121066a09bbfb81ff0e9cee67ff6db52029b50c2a6e,e95eada99f4935c35c4fd4258f2cbd599df71b118131246bc5431bc711d6cfa8,,,,ONE_HAND_SWORD,LONG_AXIS,13.170957,0.649089,CAMERALESS,,
200039,appearance.d1115.s21.c2.sc7,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,3359,0,1115,item\objectcomponents\weapon\club_1h_spiked_a_01.m2,item\objectcomponents\weapon\club_1h_spiked_a_0100.skin,item\objectcomponents\weapon\club_1h_spiked_a_01_v01.blp,m2:4976b4daaf250814cdd2a290341d219442a982f32da9a91e55f5f3d77282f839,6f3cfa86b43b41b6eeb85cf4ca9a135aff971c7654ec341ce8bdc349a6bc90b5,5011ef7223eee9536a7e2a6bf82f64c33535751ed1e493e785ad720889748708,20a32e4fc30d7a25c9d95b57dbe25809da475c587968c2c4bdd811768a3ca817,,,,ONE_HAND_SWORD,FLAT,3.698819,0.492249,CAMERALESS,,
200040,appearance.d1121.s22.c2.sc7,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,OFFHAND,OFFHAND_WEAPON,LEFT,1018,1,1121,item\objectcomponents\weapon\sword_1h_machete_b_01.m2,item\objectcomponents\weapon\sword_1h_machete_b_0100.skin,item\objectcomponents\weapon\sword_1h_machete_b_01_v01.blp,m2:4364d29a3b466b1055b022f5ccb642bd09928f25681d724928ecb435c46b9bae,71f22df1a988bf63ae0c0b115c1c55e01a51cb29b86c9ff37f0088b53fc04116,c5d579829be7df264c33cf20d8c6ae924cae718b7e4188da7f7db258e521fce5,970584bca30562a0eafe6512e2c2e2566c4b23388bbd1a61658357607b875b46,,,,ONE_HAND_SWORD,LONG_AXIS,22.757438,0.723998,CAMERALESS,,EXTREME_ASPECT_RATIO
200044,appearance.d1515.s21.c2.sc4,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,751,3,1515,item\objectcomponents\weapon\misc_1h_bone_a_01.m2,item\objectcomponents\weapon\misc_1h_bone_a_0100.skin,item\objectcomponents\weapon\misc_1h_bone_a_01brown.blp,m2:bddab4f732892c1474dce944b14a6c41db7397f88c2d360553f8df7ebb695754,fa7704c9a354bcd867d8de7b85620af77865cac312773d04519f8a5a5c436462,dc2f6d741f87b62a2a5610ac940f0ff4ff1d65898a0bf65b020602e095b0a3d8,48ee8696f0cbc63d0122f7e83cee85bf96e2c0da1d0c654b94d4879ae76cc219,,,,ONE_HAND_MACE,LONG_AXIS,4.806596,0.411441,CAMERALESS,,
200045,appearance.d1542.s21.c2.sc7,PUBLIC,READY,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,25,2,1542,item\objectcomponents\weapon\sword_1h_short_a_02.m2,item\objectcomponents\weapon\sword_1h_short_a_0200.skin,item\objectcomponents\weapon\sword_1h_short_a_02rusty.blp,m2:e15952e6a30fc4e2c77254cd299dbcf7c96c50e8977f8cb80a3524af84d81f33,a868d3d595f5c70dce0a404b819f7cdacca6a9231e47d3ad86b9e7b4a9e927f7,8e49f998d2c86b75bd9adf7d823c6113bfa4f60ea1c74c7fff34f528e00838f1,ca13969f83f977aa50042c3b9ab4582e35e566691b523622c2864ca4377a0862,4021,40021,ACTIVE,ONE_HAND_SWORD,LONG_AXIS,12.146754,0.531172,CAMERALESS,,
200046,appearance.d1544.s21.c2.sc7,PUBLIC,READY,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,1161,5,1544,item\objectcomponents\weapon\sword_1h_short_a_01.m2,item\objectcomponents\weapon\sword_1h_short_a_0100.skin,item\objectcomponents\weapon\sword_1h_short_a_01blue.blp,m2:3f03d5679c1c1a84bccf415bbcf6884d3e92b9586a78fa73c3c6e6daa8f8acd2,48354bbae29ca0e0b8619e0bb8773baf14fdb03accc775d0d0a60ea50f40fe07,54327613c593cad53dbaa34793e29a399ffaf53b6d9316a2473303537a3b1446,e7f7859a5ac942668057d079a6e706f859f628fe12955e93e6709c809e0b2ee3,4022,40022,ACTIVE,ONE_HAND_SWORD,LONG_AXIS,8.610463,0.547415,CAMERALESS,,
200047,appearance.d1546.s21.c2.sc7,PUBLIC,READY,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,1384,3,1546,item\objectcomponents\weapon\sword_1h_short_a_01.m2,item\objectcomponents\weapon\sword_1h_short_a_0100.skin,item\objectcomponents\weapon\sword_1h_short_a_01rusty.blp,m2:3f03d5679c1c1a84bccf415bbcf6884d3e92b9586a78fa73c3c6e6daa8f8acd2,48354bbae29ca0e0b8619e0bb8773baf14fdb03accc775d0d0a60ea50f40fe07,cf1e972b0448461d447351f60f73896bfed57fce3e6fde2733822d81b5b76cc6,3965746c1ccbae52f5af83d89ea978748b959054cab2cfc23a81dd1057e49b80,4022,40023,ACTIVE,ONE_HAND_SWORD,LONG_AXIS,8.610463,0.547415,CAMERALESS,,
200048,appearance.d1547.s13.c2.sc7,PUBLIC,READY,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,26053,11,1547,item\objectcomponents\weapon\sword_1h_short_a_01.m2,item\objectcomponents\weapon\sword_1h_short_a_0100.skin,item\objectcomponents\weapon\sword_1h_short_a_01green.blp,m2:3f03d5679c1c1a84bccf415bbcf6884d3e92b9586a78fa73c3c6e6daa8f8acd2,48354bbae29ca0e0b8619e0bb8773baf14fdb03accc775d0d0a60ea50f40fe07,698fcf407d6cfe209937dd509d1b5f6feaa851c30ecfb5c3522a2e136ad68015,adbda721598333f583f628b79dc14b615de16daa6ccd5108a8e4d10d55709f79,4022,40024,ACTIVE,ONE_HAND_SWORD,LONG_AXIS,8.610463,0.547415,CAMERALESS,,
200049,appearance.d1547.s21.c2.sc7,PUBLIC,READY,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,1413,8,1547,item\objectcomponents\weapon\sword_1h_short_a_01.m2,item\objectcomponents\weapon\sword_1h_short_a_0100.skin,item\objectcomponents\weapon\sword_1h_short_a_01green.blp,m2:3f03d5679c1c1a84bccf415bbcf6884d3e92b9586a78fa73c3c6e6daa8f8acd2,48354bbae29ca0e0b8619e0bb8773baf14fdb03accc775d0d0a60ea50f40fe07,698fcf407d6cfe209937dd509d1b5f6feaa851c30ecfb5c3522a2e136ad68015,adbda721598333f583f628b79dc14b615de16daa6ccd5108a8e4d10d55709f79,4022,40024,ACTIVE,ONE_HAND_SWORD,LONG_AXIS,8.610463,0.547415,CAMERALESS,,
200050,appearance.d1550.s21.c2.sc7,PUBLIC,READY,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,1008,10,1550,item\objectcomponents\weapon\sword_1h_long_a_02.m2,item\objectcomponents\weapon\sword_1h_long_a_0200.skin,item\objectcomponents\weapon\sword_1h_long_a_02brown.blp,m2:9b27e9c1a1987978c3f884b90b61abe8d6037363c805a11a86bf50722217d577,e3b5d57700f959572a2949fabb39258312d3484f08581d397846fa3ddfdbcbc5,9df474447b55654cc0ccace1b44a98e860fb70a6e64a74c8dd1c21c383face52,ea6149f3f45203c10997397ac54e0228c80f21c50a8a011f3ffa384796665557,4023,40025,ACTIVE,ONE_HAND_SWORD,LONG_AXIS,17.363477,0.60358,CAMERALESS,,EXTREME_ASPECT_RATIO
200051,appearance.d1600.s17.c2.sc10,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,1908,1,1600,item\objectcomponents\weapon\stave_2h_long_a_01.m2,item\objectcomponents\weapon\stave_2h_long_a_0100.skin,item\objectcomponents\weapon\stave_2h_long_a_01teal.blp,m2:b2cd4fde5787cb382d2935f23b09d98272d696abeb5b8619e3a0a755eb240be4,c41d2149568e6fb81da6bde0c231a7f548068044ebfe1e096a260a67312f9578,4be1bb155a6ad26a48702b2622c6ba94bbf04ae5258ad63f156d17c4555863ca,a7d5990aa452d50d6f7b67aee0179ad5349f07dca91d7795c47ada5490db6f1c,,,,STAFF,LONG_AXIS,11.71882,0.772769,CAMERALESS,,
200052,appearance.d1628.s17.c2.sc8,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,5556,45,1628,item\objectcomponents\weapon\sword_2h_claymore_a_02.m2,item\objectcomponents\weapon\sword_2h_claymore_a_0200.skin,item\objectcomponents\weapon\sword_2h_claymore_a_02rusty.blp,m2:cd8c021c3091900518650c8fecfe5c182207d7dbd623f249e6c217935ed514f9,cd4ff465b90f694ea3722f4e182dbddfec1a4ea78e1c38d5ce5d33be1cdd0642,051a023ec9c2c988f4b623230bf2322d5e66ef3ee729ea20adddf0d93b3e90e5,3a4c1fbb6d803f2b526467831a17feb06f34eab6ced6c48f1beed18b8b67693b,,,,TWO_HAND_SWORD,LONG_AXIS,24.3858,0.847707,CAMERALESS,,EXTREME_ASPECT_RATIO
200053,appearance.d1644.s14.c4.sc6,PUBLIC,READY,READY,SHADOW_READY,READY,,OFFHAND,SHIELD,LEFT,1204,41,1644,item\objectcomponents\shield\shield_rectangle_b_01.m2,item\objectcomponents\shield\shield_rectangle_b_0100.skin,item\objectcomponents\shield\shield_rectangle_b_01green.blp,m2:99d783c2aa7a18070bd83f6fef4747880a84fadf399411588e76c17b7859f2bf,2a7993aa768d84eafd9500a2463297602ac2e649c6bf46b6d6d786ae6557a535,b7298db18b04d31d72a56a624df925d46973456c2d196f5ad20a2d256f2da234,b62d3d8fb121833186b94cd72e0ed28f09222b5947c07750d7ba80a8055a6bef,4024,40026,ACTIVE,SHIELD,SHIELD,7.287856,0.507306,CAMERALESS,,
200054,appearance.d1661.s17.c2.sc10,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,MAINHAND,MAINHAND,LEFT,1948,16,1661,item\objectcomponents\weapon\misc_2h_broom_a_01.m2,item\objectcomponents\weapon\misc_2h_broom_a_0100.skin,item\objectcomponents\weapon\misc_2h_broom_a_01.blp,m2:bb9782362b335b6943d8e478c5a8f9a295c7995e48fccc184cbb15eec55ae752,16e11968b6a10d067063137b3ac57a2d98d262c24540ea03334e7c1fc644bcbf,0c228ddc3c41b66dcf71353ebfc1f6f30edba52aa57745ee46f35f54e1370fea,4f27205264d374d37766b6c329899e49322113a47af3c149a62dfeac0326fe76,,,,STAFF,LONG_AXIS,30.195986,1.016456,CAMERALESS,,EXTREME_ASPECT_RATIO
200055,appearance.d1673.s14.c4.sc6,PUBLIC,READY,READY,SHADOW_READY,READY,,OFFHAND,SHIELD,LEFT,3653,15,1673,item\objectcomponents\shield\buckler_round_a_01.m2,item\objectcomponents\shield\buckler_round_a_0100.skin,item\objectcomponents\shield\buckler_round_a_01black.blp,m2:6d4647914893495048e59c56d447cc9d6870c324370fa4d79fdb2a429029ae77,7f34a489c4061260c6a529f5bb2aa5e63d3c7947d1b22dce0d11c19191139694,95438082eef7c4aab8dbd322b94d9ac326118d145ba4a1d9ab3f3b47fc8906f0,e9ddf342b3446436789bf61d88446c7e30fb553548ccc1c694b677d9586eb1d3,4025,40027,ACTIVE,SHIELD,SHIELD,3.738559,0.283139,CAMERALESS,,
200056,appearance.d1680.s14.c4.sc6,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,OFFHAND,SHIELD,LEFT,876,1,1680,item\objectcomponents\shield\buckler_round_a_01.m2,item\objectcomponents\shield\buckler_round_a_0100.skin,item\objectcomponents\shield\shield_oval_a_01grey.blp,m2:6d4647914893495048e59c56d447cc9d6870c324370fa4d79fdb2a429029ae77,7f34a489c4061260c6a529f5bb2aa5e63d3c7947d1b22dce0d11c19191139694,3f1ec745953da077fcc3239b77c6636ca2ebd3e508fd9e974f3aaa6424fb7e76,e9de3b53830542b52365838264f927fd8412f9be37ed09b5058f4a77de3ff9b1,,,,SHIELD,SHIELD,3.738559,0.283139,CAMERALESS,,
200057,appearance.d1684.s14.c4.sc6,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,OFFHAND,SHIELD,LEFT,1957,1,1684,item\objectcomponents\shield\shield_round_a_01.m2,item\objectcomponents\shield\shield_round_a_0100.skin,item\objectcomponents\shield\shield_oval_a_01black.blp,m2:ef6d626e655dec3c73e6191b97eea492414e115d78f9c9bbe694c2cf1cd3c565,04f9d79b40894dc25627621ad756797bfb4d8c949924d26b8e319edde20fa67e,fd7aece64fce8a70e99968b652222f57d2bd34c51be0889c5917bbf578671c67,ddbb1ad0201b382ae8d65ec4d89c7d73d77be3f608820055ddbd38bf46f68cc6,,,,SHIELD,SHIELD,4.064099,0.367786,CAMERALESS,,
200058,appearance.d1685.s14.c4.sc6,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,OFFHAND,SHIELD,LEFT,1961,1,1685,item\objectcomponents\shield\buckler_round_a_01.m2,item\objectcomponents\shield\buckler_round_a_0100.skin,item\objectcomponents\shield\buckler_round_a_01purple.blp,m2:6d4647914893495048e59c56d447cc9d6870c324370fa4d79fdb2a429029ae77,7f34a489c4061260c6a529f5bb2aa5e63d3c7947d1b22dce0d11c19191139694,ca315fef66988b35b60eb8724ccf1ab82513619ee955b751a809ac9ddb05ce33,c6f0c206417d3d32f3c700bbe475aff81099557ae25c54d5db89f696111c9fc8,,,,SHIELD,SHIELD,3.738559,0.283139,CAMERALESS,,
200059,appearance.d1705.s14.c4.sc6,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,OFFHAND,SHIELD,LEFT,1984,1,1705,item\objectcomponents\shield\shield_crest_a_01.m2,item\objectcomponents\shield\shield_crest_a_0100.skin,item\objectcomponents\shield\shield_crest_a_01silver.blp,m2:7fea2387c4765bfb48679e7276293da358327c7275a3385371df5a8d36a1fae7,d5cef2cf5b6386fe169592c2419e246fb3192bae9271b74bf3d9ef93333a031e,894f4a32d41202026ad2cc5e9f3ffbdd5473d077486d06dd0b42de7a84fc95ac,c770396f6e4e2ae6595d14aff1d6195d364a25e38c7a82d52bd91356e633fceb,,,,SHIELD,SHIELD,6.250524,0.455472,CAMERALESS,,
200060,appearance.d1706.s14.c4.sc6,NONPUBLIC,NONPUBLIC,READY,SHADOW_READY,READY,,OFFHAND,SHIELD,LEFT,1985,1,1706,item\objectcomponents\shield\shield_rectangle_a_01.m2,item\objectcomponents\shield\shield_rectangle_a_0100.skin,item\objectcomponents\shield\shield_rectangle_a_01purple.blp,m2:3433b485cac83110ad77da3a098f3c4b545c8d06a5802334880427b24b911f63,cfbc32941fbf3fb7c793a1316b9373b0174f4ab7c2c1e140ec0347b4da2098fa,354b164404d06f3df4c499943da8f1f5e3f8d12f1e31f489d2a935fcabb7d046,d190aad49d94d4726c987d62aaa7d8bb7efe0e97aab8777e8590f8cd49746731,,,,SHIELD,SHIELD,6.752449,0.50018,CAMERALESS,,
