sampleKind,appearanceId,collectionKey,route,sourceSide,sourceItemId,itemLevel,nativeDisplayId,itemDisplayModel,itemDisplayTexture,resolvedModelPath,resolvedSkinPath,resolvedTexturePath,modelArchive,textureArchive,cameraPreset
ROUTE_STRATIFIED,200045,appearance.d1542.s21.c2.sc7,MAINHAND,LEFT,25,2,1542,Sword_1H_Short_A_02.mdx,Sword_1H_Short_A_02Rusty,item\objectcomponents\weapon\sword_1h_short_a_02.m2,item\objectcomponents\weapon\sword_1h_short_a_0200.skin,item\objectcomponents\weapon\sword_1h_short_a_02rusty.blp,common-2.MPQ,common.MPQ,ONE_HAND_SWORD
ROUTE_STRATIFIED,200053,appearance.d1644.s14.c4.sc6,SHIELD,LEFT,1204,41,1644,Shield_Rectangle_B_01.mdx,Shield_rectangle_B_01Green,item\objectcomponents\shield\shield_rectangle_b_01.m2,item\objectcomponents\shield\shield_rectangle_b_0100.skin,item\objectcomponents\shield\shield_rectangle_b_01green.blp,common-2.MPQ,common.MPQ,SHIELD
FAMILY_STRATIFIED,200065,appearance.d1759.s13.c2.sc4,MAINHAND,LEFT,1958,17,1759,Misc_1H_Bone_A_01.mdx,Misc_1H_Bone_A_01Brown,item\objectcomponents\weapon\misc_1h_bone_a_01.m2,item\objectcomponents\weapon\misc_1h_bone_a_0100.skin,item\objectcomponents\weapon\misc_1h_bone_a_01brown.blp,common-2.MPQ,common.MPQ,ONE_HAND_MACE
FAMILY_STRATIFIED,200107,appearance.d2380.s17.c2.sc8,MAINHAND,LEFT,2128,4,2380,Sword_2H_Claymore_A_01.mdx,Sword_2H_Claymore_A_01Rusty,item\objectcomponents\weapon\sword_2h_claymore_a_01.m2,item\objectcomponents\weapon\sword_2h_claymore_a_0100.skin,item\objectcomponents\weapon\sword_2h_claymore_a_01rusty.blp,common-2.MPQ,common.MPQ,TWO_HAND_SWORD
FAMILY_STRATIFIED,200111,appearance.d2440.s17.c2.sc5,MAINHAND,LEFT,22333,62,2440,Hammer_2H_Maul_B_02.mdx,Hammer_2H_Maul_B_02Silver,item\objectcomponents\weapon\hammer_2h_maul_b_02.m2,item\objectcomponents\weapon\hammer_2h_maul_b_0200.skin,item\objectcomponents\weapon\hammer_2h_maul_b_02silver.blp,common-2.MPQ,common.MPQ,TWO_HAND_MACE
FAMILY_STRATIFIED,200131,appearance.d2708.s13.c2.sc15,MAINHAND,LEFT,31733,99,2708,Knife_1H_Dagger_A_02.mdx,Knife_1H_Dagger_A_02Gold,item\objectcomponents\weapon\knife_1h_dagger_a_02.m2,item\objectcomponents\weapon\knife_1h_dagger_a_0200.skin,item\objectcomponents\weapon\knife_1h_dagger_a_02gold.blp,common-2.MPQ,common.MPQ,DAGGER
ROUTE_STRATIFIED,200136,appearance.d2787.s15.c2.sc2,RANGED,LEFT,2777,13,2787,Bow_1H_Standard_A_01.mdx,Bow_1H_Standard_A_01Purple,item\objectcomponents\weapon\bow_1h_standard_a_01.m2,item\objectcomponents\weapon\bow_1h_standard_a_0100.skin,item\objectcomponents\weapon\bow_1h_standard_a_01purple.blp,common-2.MPQ,common.MPQ,BOW
FAMILY_STRATIFIED,200151,appearance.d3007.s13.c2.sc13,MAINHAND,LEFT,2942,26,3007,Hand_1H_Knuckle_B_01.mdx,Hand_1H_Knuckle_B_01Brown,item\objectcomponents\weapon\hand_1h_knuckle_b_01.m2,item\objectcomponents\weapon\hand_1h_knuckle_b_0100.skin,item\objectcomponents\weapon\hand_1h_knuckle_b_01brown.blp,common-2.MPQ,common.MPQ,FIST_WEAPON
FAMILY_STRATIFIED,200191,appearance.d3405.s17.c2.sc10,MAINHAND,LEFT,23371,6,3405,Stave_2H_Long_A_01.mdx,Stave_2H_Long_A_01Gold,item\objectcomponents\weapon\stave_2h_long_a_01.m2,item\objectcomponents\weapon\stave_2h_long_a_0100.skin,item\objectcomponents\weapon\stave_2h_long_a_01gold.blp,common-2.MPQ,common.MPQ,STAFF
ROUTE_STRATIFIED,200208,appearance.d3573.s23.c4.sc0,HELD_IN_OFFHAND,LEFT,3360,30,3573,Misc_1H_Bone_A_01.mdx,Misc_1H_Bone_A_01Black,item\objectcomponents\weapon\misc_1h_bone_a_01.m2,item\objectcomponents\weapon\misc_1h_bone_a_0100.skin,item\objectcomponents\weapon\misc_1h_bone_a_01black.blp,common-2.MPQ,common.MPQ,ONE_HAND_AXE
SEEDED_RANDOM,200222,appearance.d3725.s14.c4.sc6,SHIELD,LEFT,6176,5,3725,Shield_Crest_A_01.mdx,Shield_Crest_A_01Red,item\objectcomponents\shield\shield_crest_a_01.m2,item\objectcomponents\shield\shield_crest_a_0100.skin,item\objectcomponents\shield\shield_crest_a_01red.blp,common-2.MPQ,common.MPQ,SHIELD
FAMILY_STRATIFIED,200409,appearance.d5290.s17.c2.sc6,MAINHAND,LEFT,4901,25,5290,Polearm_2H_Bladed_B_01.mdx,Polearm_2H_Bladed_B_01Black,item\objectcomponents\weapon\polearm_2h_bladed_b_01.m2,item\objectcomponents\weapon\polearm_2h_bladed_b_0100.skin,item\objectcomponents\weapon\polearm_2h_bladed_b_01black.blp,common-2.MPQ,common.MPQ,POLEARM
FAMILY_STRATIFIED,200447,appearance.d6081.s26.c2.sc19,RANGED,LEFT,5212,17,6081,Wand_1H_Standard_A_02.mdx,Wand_1H_Standard_A_02White,item\objectcomponents\weapon\wand_1h_standard_a_02.m2,item\objectcomponents\weapon\wand_1h_standard_a_0200.skin,item\objectcomponents\weapon\wand_1h_standard_a_02white.blp,common-2.MPQ,common.MPQ,WAND
FAMILY_STRATIFIED,200467,appearance.d6264.s17.c2.sc1,MAINHAND,LEFT,756,29,6264,Axe_1H_Pick_A_01.mdx,Axe_1H_Pick_A_01Brown,item\objectcomponents\weapon\axe_1h_pick_a_01.m2,item\objectcomponents\weapon\axe_1h_pick_a_0100.skin,item\objectcomponents\weapon\axe_1h_pick_a_01brown.blp,common-2.MPQ,common.MPQ,TWO_HAND_AXE
ROUTE_STRATIFIED,200491,appearance.d6443.s22.c2.sc15,OFFHAND_WEAPON,LEFT,18392,62,6443,Knife_1H_Dagger_B_01.mdx,Knife_1H_Dagger_B_01Green,item\objectcomponents\weapon\knife_1h_dagger_b_01.m2,item\objectcomponents\weapon\knife_1h_dagger_b_0100.skin,item\objectcomponents\weapon\knife_1h_dagger_b_01green.blp,common-2.MPQ,common.MPQ,DAGGER
FAMILY_STRATIFIED,201176,appearance.d11247.s26.c2.sc18,RANGED,LEFT,6315,27,11247,Bow_2H_Crossbow_A_01.mdx,Bow_2H_Crossbow_A_01Silver,item\objectcomponents\weapon\bow_2h_crossbow_a_01.m2,item\objectcomponents\weapon\bow_2h_crossbow_a_0100.skin,item\objectcomponents\weapon\bow_2h_crossbow_a_01silver.blp,common-2.MPQ,common.MPQ,CROSSBOW
SEEDED_RANDOM,201204,appearance.d11559.s14.c4.sc6,SHIELD,LEFT,6400,31,11559,Shield_Crest_A_01.mdx,Shield_Crest_A_01Gold,item\objectcomponents\shield\shield_crest_a_01.m2,item\objectcomponents\shield\shield_crest_a_0100.skin,item\objectcomponents\shield\shield_crest_a_01gold.blp,common-2.MPQ,common.MPQ,SHIELD
FAMILY_STRATIFIED,202074,appearance.d16752.s25.c2.sc16,RANGED,LEFT,6886,1,16752,Thrown_1H_Dagger_A_01.mdx,Thrown_1H_Dagger_A_01Copper,item\objectcomponents\weapon\thrown_1h_dagger_a_01.m2,item\objectcomponents\weapon\thrown_1h_dagger_a_0100.skin,item\objectcomponents\weapon\thrown_1h_dagger_a_01copper.blp,common-2.MPQ,common.MPQ,THROWN
SEEDED_RANDOM,202549,appearance.d18490.s14.c4.sc6,SHIELD,LEFT,3276,5,18490,Buckler_Oval_A_01.mdx,Buckler_Round_A_01Black,item\objectcomponents\shield\buckler_oval_a_01.m2,item\objectcomponents\shield\buckler_oval_a_0100.skin,item\objectcomponents\shield\buckler_round_a_01black.blp,common-2.MPQ,common.MPQ,SHIELD
SEEDED_RANDOM,202552,appearance.d18493.s14.c4.sc6,SHIELD,LEFT,6571,22,18493,Buckler_Round_A_01.mdx,Buckler_Damaged_A_02Copper,item\objectcomponents\shield\buckler_round_a_01.m2,item\objectcomponents\shield\buckler_round_a_0100.skin,item\objectcomponents\shield\buckler_damaged_a_02copper.blp,common-2.MPQ,common.MPQ,SHIELD
SEEDED_RANDOM,202571,appearance.d18533.s14.c4.sc6,SHIELD,LEFT,9607,25,18533,Shield_Crest_B_02.mdx,Shield_Crest_B_02CopperSquares,item\objectcomponents\shield\shield_crest_b_02.m2,item\objectcomponents\shield\shield_crest_b_0200.skin,item\objectcomponents\shield\shield_crest_b_02coppersquares.blp,common-2.MPQ,common.MPQ,SHIELD
SEEDED_RANDOM,203007,appearance.d20072.s17.c2.sc8,MAINHAND,LEFT,3188,15,20072,Sword_2H_Claymore_A_01.mdx,Sword_1H_Short_A_03Green,item\objectcomponents\weapon\sword_2h_claymore_a_01.m2,item\objectcomponents\weapon\sword_2h_claymore_a_0100.skin,item\objectcomponents\weapon\sword_1h_short_a_03green.blp,common-2.MPQ,common.MPQ,TWO_HAND_SWORD
FAMILY_STRATIFIED,203257,appearance.d20618.s17.c2.sc20,MAINHAND,LEFT,6365,10,20618,Misc_2H_FishingPole_A_01.mdx,Misc_2H_FishingPole_A_01,item\objectcomponents\weapon\misc_2h_fishingpole_a_01.m2,item\objectcomponents\weapon\misc_2h_fishingpole_a_0100.skin,item\objectcomponents\weapon\misc_2h_fishingpole_a_01.blp,common-2.MPQ,common.MPQ,FISHING_POLE
SEEDED_RANDOM,203544,appearance.d22144.s17.c2.sc10,MAINHAND,LEFT,15274,52,22144,Stave_2H_Long_B_04.mdx,Stave_2H_Long_B_04Green,item\objectcomponents\weapon\stave_2h_long_b_04.m2,item\objectcomponents\weapon\stave_2h_long_b_0400.skin,item\objectcomponents\weapon\stave_2h_long_b_04green.blp,common-2.MPQ,common.MPQ,STAFF
