typeKey,collectionId,collectionKey,ordinal,lifecycle,name_enUS,name_zhCN,policyKey,sourceBuild,sourceKind,sourceId,actionKind,actionId,assetReady,assetProfile,aliases
mount,100000,mount.acherus_deathcharger,0,active,Acherus Deathcharger,Acherus Deathcharger,unrestricted,3.3.5.12340,spell,48778,mount_spell,48778,true,wotlk_native,
mount,100001,mount.albino_drake,1,active,Albino Drake,白色幼龙的缰绳,unrestricted,3.3.5.12340,spell,60025,mount_spell,60025,true,wotlk_native,
mount,100002,mount.amani_war_bear,2,active,Amani War Bear,阿曼尼战熊,unrestricted,3.3.5.12340,spell,43688,mount_spell,43688,true,wotlk_native,
mount,100003,mount.ancient_frostsaber,3,active,Ancient Frostsaber,上古霜刃豹缰绳,unrestricted,3.3.5.12340,spell,16056,mount_spell,16056,true,wotlk_native,
mount,100004,mount.argent_charger,4,active,Argent Charger,银色军马,unrestricted,3.3.5.12340,spell,66906,mount_spell,66906,true,wotlk_native,
mount,100005,mount.argent_hippogryph,5,active,Argent Hippogryph,银色角鹰兽,unrestricted,3.3.5.12340,spell,63844,mount_spell,63844,true,wotlk_native,
mount,100006,mount.argent_warhorse,6,active,Argent Warhorse,银色战马,unrestricted,3.3.5.12340,spell,67466,mount_spell,67466,true,wotlk_native,
mount,100007,mount.armored_blue_wind_rider,7,active,Armored Blue Wind Rider,装甲蓝色驭风者,unrestricted,3.3.5.12340,spell,61230,mount_spell,61230,true,wotlk_native,
mount,100008,mount.armored_brown_bear,8,active,Armored Brown Bear,装甲棕熊的缰绳,unrestricted,3.3.5.12340,spell,60114,mount_spell,60114,true,wotlk_native,
mount,100009,mount.armored_brown_bear.creature_32207,9,active,Armored Brown Bear,装甲棕熊的缰绳,unrestricted,3.3.5.12340,spell,60116,mount_spell,60116,true,wotlk_native,
mount,100010,mount.armored_snowy_gryphon,10,active,Armored Snowy Gryphon,装甲雪色狮鹫,unrestricted,3.3.5.12340,spell,61229,mount_spell,61229,true,wotlk_native,
mount,100011,mount.ashes_of_al_ar,11,active,Ashes of Al'ar,奥的灰烬,unrestricted,3.3.5.12340,spell,40192,mount_spell,40192,true,wotlk_native,
mount,100012,mount.azure_drake,12,active,Azure Drake,碧蓝幼龙的缰绳,unrestricted,3.3.5.12340,spell,59567,mount_spell,59567,true,wotlk_native,
mount,100013,mount.azure_netherwing_drake,13,active,Azure Netherwing Drake,青色灵翼幼龙的缰绳,unrestricted,3.3.5.12340,spell,41514,mount_spell,41514,true,wotlk_native,
mount,100014,mount.big_battle_bear,14,active,Big Battle Bear,大战熊,unrestricted,3.3.5.12340,spell,51412,mount_spell,51412,true,wotlk_native,
mount,100015,mount.big_blizzard_bear,15,active,Big Blizzard Bear,暴雪巨熊,unrestricted,3.3.5.12340,spell,58983,mount_spell,58983,true,wotlk_native,
mount,100016,mount.big_love_rocket,16,active,Big Love Rocket,爱情火箭,unrestricted,3.3.5.12340,spell,71342,mount_spell,71342,true,wotlk_native,
mount,100017,mount.black_battlestrider,17,active,Black Battlestrider,黑色作战机械陆行鸟,unrestricted,3.3.5.12340,spell,22719,mount_spell,22719,true,wotlk_native,
mount,100018,mount.black_dragonhawk_mount,18,active,Black Dragonhawk Mount,Black Dragonhawk Mount,unrestricted,3.3.5.12340,spell,62048,mount_spell,62048,true,wotlk_native,
mount,100019,mount.black_drake,19,active,Black Drake,黑色幼龙的缰绳,unrestricted,3.3.5.12340,spell,59650,mount_spell,59650,true,wotlk_native,
mount,100020,mount.black_hawkstrider,20,active,Black Hawkstrider,黑色陆行鸟,unrestricted,3.3.5.12340,spell,35022,mount_spell,35022,true,wotlk_native,
mount,100021,mount.black_nightsaber,21,active,Black Nightsaber,夜刃豹缰绳,unrestricted,3.3.5.12340,spell,16055,mount_spell,16055,true,wotlk_native,
mount,100022,mount.black_polar_bear,22,active,Black Polar Bear,黑色北极熊的缰绳,unrestricted,3.3.5.12340,spell,59572,mount_spell,59572,true,wotlk_native,
mount,100023,mount.black_proto_drake,23,active,Black Proto-Drake,黑色始祖幼龙的缰绳,unrestricted,3.3.5.12340,spell,59976,mount_spell,59976,true,wotlk_native,
mount,100024,mount.black_qiraji_battle_tank,24,active,Black Qiraji Battle Tank,黑色其拉共鸣水晶,unrestricted,3.3.5.12340,spell,26656,mount_spell,26656,true,wotlk_native,
mount,100025,mount.black_ram,25,active,Black Ram,黑山羊,unrestricted,3.3.5.12340,spell,17461,mount_spell,17461,true,wotlk_native,
mount,100026,mount.black_skeletal_horse,26,active,Black Skeletal Horse,黑色骷髅战马,unrestricted,3.3.5.12340,spell,64977,mount_spell,64977,true,wotlk_native,
mount,100027,mount.black_stallion,27,active,Black Stallion,黑马缰绳,unrestricted,3.3.5.12340,spell,470,mount_spell,470,true,wotlk_native,
mount,100028,mount.black_war_bear,28,active,Black War Bear,黑色战熊的缰绳,unrestricted,3.3.5.12340,spell,60118,mount_spell,60118,true,wotlk_native,
mount,100029,mount.black_war_bear.creature_32205,29,active,Black War Bear,黑色战熊的缰绳,unrestricted,3.3.5.12340,spell,60119,mount_spell,60119,true,wotlk_native,
mount,100030,mount.black_war_elekk,30,active,Black War Elekk,黑色作战雷象的缰绳,unrestricted,3.3.5.12340,spell,48027,mount_spell,48027,true,wotlk_native,
mount,100031,mount.black_war_kodo,31,active,Black War Kodo,黑色作战科多兽,unrestricted,3.3.5.12340,spell,22718,mount_spell,22718,true,wotlk_native,
mount,100032,mount.black_war_mammoth,32,active,Black War Mammoth,黑色猛犸战象的缰绳,unrestricted,3.3.5.12340,spell,59785,mount_spell,59785,true,wotlk_native,
mount,100033,mount.black_war_mammoth.creature_31850,33,active,Black War Mammoth,黑色猛犸战象的缰绳,unrestricted,3.3.5.12340,spell,59788,mount_spell,59788,true,wotlk_native,
mount,100034,mount.black_war_ram,34,active,Black War Ram,黑色战羊,unrestricted,3.3.5.12340,spell,22720,mount_spell,22720,true,wotlk_native,
mount,100035,mount.black_war_raptor,35,active,Black War Raptor,黑色战斗迅猛龙之哨,unrestricted,3.3.5.12340,spell,22721,mount_spell,22721,true,wotlk_native,
mount,100036,mount.black_war_steed,36,active,Black War Steed,黑色战驹缰绳,unrestricted,3.3.5.12340,spell,22717,mount_spell,22717,true,wotlk_native,
mount,100037,mount.black_war_tiger,37,active,Black War Tiger,黑色军用座虎缰绳,unrestricted,3.3.5.12340,spell,22723,mount_spell,22723,true,wotlk_native,
mount,100038,mount.black_war_wolf,38,active,Black War Wolf,黑色战狼号角,unrestricted,3.3.5.12340,spell,22724,mount_spell,22724,true,wotlk_native,
mount,100039,mount.black_wolf,39,active,Black Wolf,黑狼号角,unrestricted,3.3.5.12340,spell,64658,mount_spell,64658,true,wotlk_native,
mount,100040,mount.blazing_hippogryph,40,active,Blazing Hippogryph,炽焰角鹰兽,unrestricted,3.3.5.12340,spell,74856,mount_spell,74856,true,wotlk_native,
mount,100041,mount.bloodbathed_frostbrood_vanquisher,41,active,Bloodbathed Frostbrood Vanquisher,浴血冰霜征服者缰绳,unrestricted,3.3.5.12340,spell,72808,mount_spell,72808,true,wotlk_native,
mount,100042,mount.blue_dragonhawk,42,active,Blue Dragonhawk,蓝色龙鹰坐骑,unrestricted,3.3.5.12340,spell,61996,mount_spell,61996,true,wotlk_native,
