typeKey,collectionId,collectionKey,ordinal,lifecycle,name_enUS,name_zhCN,policyKey,sourceBuild,sourceKind,sourceId,actionKind,actionId,assetReady,assetProfile,aliases
set,300008,set.itemset.1,18689,active,角斗士,角斗士,unrestricted,3.3.5.12340,item_set,1,APPLY,300008,true,wotlk_native,itemset:1|variant:1
set,300009,set.itemset.41,18690,active,雷德双刀,雷德双刀,unrestricted,3.3.5.12340,item_set,41,APPLY,300009,true,wotlk_native,itemset:41|variant:1
set,300010,set.itemset.65,18691,active,蜘蛛之吻,蜘蛛之吻,unrestricted,3.3.5.12340,item_set,65,APPLY,300010,true,wotlk_native,itemset:65|variant:1
set,300011,set.itemset.81,18692,active,邮差,邮差,unrestricted,3.3.5.12340,item_set,81,APPLY,300011,true,wotlk_native,itemset:81|variant:1
set,300012,set.itemset.121,18693,active,苍白,苍白,unrestricted,3.3.5.12340,item_set,121,APPLY,300012,true,wotlk_native,itemset:121|variant:1
set,300013,set.itemset.122,18694,active,骨堆,骨堆,unrestricted,3.3.5.12340,item_set,122,APPLY,300013,true,wotlk_native,itemset:122|variant:1
set,300014,set.itemset.123,18695,active,血链,血链,unrestricted,3.3.5.12340,item_set,123,APPLY,300014,true,wotlk_native,itemset:123|variant:1
set,300015,set.itemset.124,18696,active,亡者之骨,亡者之骨,unrestricted,3.3.5.12340,item_set,124,APPLY,300015,true,wotlk_native,itemset:124|variant:1
set,300016,set.itemset.141,18697,active,火山,火山,unrestricted,3.3.5.12340,item_set,141,APPLY,300016,true,wotlk_native,itemset:141|variant:1
set,300017,set.itemset.142,18698,active,雷暴,雷暴,unrestricted,3.3.5.12340,item_set,142,APPLY,300017,true,wotlk_native,itemset:142|variant:1
set,300018,set.itemset.143,18699,active,魔暴龙护甲,魔暴龙护甲,unrestricted,3.3.5.12340,item_set,143,APPLY,300018,true,wotlk_native,itemset:143|variant:1
set,300019,set.itemset.144,18700,active,铁羽护甲,铁羽护甲,unrestricted,3.3.5.12340,item_set,144,APPLY,300019,true,wotlk_native,itemset:144|variant:1
set,300020,set.itemset.161,18701,active,迪菲亚皮甲,迪菲亚皮甲,unrestricted,3.3.5.12340,item_set,161,APPLY,300020,true,wotlk_native,itemset:161|variant:1
set,300021,set.itemset.162,18702,active,毒蛇的拥抱,毒蛇的拥抱,unrestricted,3.3.5.12340,item_set,162,APPLY,300021,true,wotlk_native,itemset:162|variant:1
set,300022,set.itemset.163,18703,active,血色十字军链甲,血色十字军链甲,unrestricted,3.3.5.12340,item_set,163,APPLY,300022,true,wotlk_native,itemset:163|variant:1
set,300023,set.itemset.181,18704,active,博学者的徽记,博学者的徽记,unrestricted,3.3.5.12340,item_set,181,APPLY,300023,true,wotlk_native,itemset:181|variant:1
set,300024,set.itemset.182,18705,active,虔诚,虔诚,unrestricted,3.3.5.12340,item_set,182,APPLY,300024,true,wotlk_native,itemset:182|variant:1
set,300025,set.itemset.183,18706,active,鬼雾,鬼雾,unrestricted,3.3.5.12340,item_set,183,APPLY,300025,true,wotlk_native,itemset:183|variant:1
set,300026,set.itemset.184,18707,active,迅影,迅影,unrestricted,3.3.5.12340,item_set,184,APPLY,300026,true,wotlk_native,itemset:184|variant:1
set,300027,set.itemset.185,18708,active,野性之心,野性之心,unrestricted,3.3.5.12340,item_set,185,APPLY,300027,true,wotlk_native,itemset:185|variant:1
