creatureEntry,name_zhCN,spellIds,spellNames_zhCN,displayIds,itemSourceCount,questSourceCount,resourceStatus,resourceReasonCode
2671,机械松鼠,4055,机械松鼠,7937,1,0,READY,
7380,黑尾白猫,10677,黑尾白猫,5585,1,0,READY,
7381,黑斑白猫,10678,黑斑白猫,5555,1,0,READY,
7382,虎皮猫,10676,虎皮猫,5554,1,0,READY,
7383,黑纹灰猫,10675,黑纹灰猫,5448,1,0,READY,
7384,黄猫,10674,黄猫,5586,1,0,READY,
7385,灰猫,10673,灰猫,5556,1,0,READY,
7386,白猫,10679,白猫,9989,1,0,READY,
7387,绿翼鹦鹉,10683,绿翼鹦鹉,5207,1,0,READY,
7388,美冠鹦鹉,10681,召唤美冠鹦鹉,6189,0,0,READY,
7389,金翼鹦鹉,10684,金翼鹦鹉,6190,1,0,READY,
7390,红尾鹦鹉,10680,红尾鹦鹉,6191,1,0,READY,
7391,花羽鹦鹉,10682,花羽鹦鹉,6192,1,0,READY,
7392,农场小鸡,10686,召唤农场小鸡,304,0,0,READY,
7393,白色小鸡,10687,召唤白色小鸡,304,0,0,READY,
7394,灰色小鸡,10685,灰色小鸡,5369,1,0,READY,
7395,蟑螂,10688,蟑螂,2177,1,0,READY,
7543,黑龙宝宝,10695,黑龙宝宝,6288,1,0,READY,
7544,红龙宝宝,10697,红龙宝宝,6290,1,0,READY,
7545,绿龙宝宝,10698,绿龙宝宝,6291,1,0,READY,
7546,青铜龙宝宝,10699,召唤青铜龙宝宝,6292,0,0,READY,
7547,蓝龙宝宝,10696,蓝龙宝宝,6293,1,0,READY,
7548,精灵龙宝宝,10700,召唤精灵龙宝宝,6294,0,0,READY,
7549,树蛙,10704,树蛙,6295,1,0,READY,
7550,林蛙,10703,林蛙,901,1,0,READY,
7551,蓝蛙,10701,召唤蓝蛙,6296,0,0,READY,
7552,岛蛙,10702,召唤岛蛙,6297,0,0,READY,
7553,棕色猫头鹰,10707,棕色猫头鹰,4615,1,0,READY,
7554,白色猫头鹰,10708,召唤白色猫头鹰,6298,0,0,READY,
7555,黑色猫头鹰,10706,黑色猫头鹰,6299,1,0,READY,
7556,黄色猫头鹰,10705,召唤黄色猫头鹰,6300,0,0,READY,
7558,黄毛兔,10710,召唤黄毛兔,4626,0,0,READY,
7559,斑点兔,10712;35157,召唤斑点兔;召唤斑点兔,6302,0,0,READY,
7560,雪兔,10711,黄纹兔,328,1,0,READY,
7561,白鳞蛇,10713,召唤白鳞蛇,2955,1,0,READY,
7562,棕色蟒蛇,10716,棕色蟒蛇,2957,1,0,READY,
7563,蓝鳞蛇,10715,召唤蓝鳞蛇,2956,0,0,READY,
7565,黑色王蛇,10714,黑色王蛇,1206,1,0,READY,
7566,血纹蛇,10720,召唤血纹蛇,2954,0,0,READY,
7567,赤练蛇,10717,赤练蛇,6303,1,0,READY,
7568,赤环蛇,10719,召唤赤环蛇,2954,0,0,READY,
7569,绿色水蛇,10718,召唤绿色水蛇,1986,0,0,READY,
7570,小精灵,10721,召唤小精灵,1824,0,0,READY,
8376,机械小鸡,12243,机械小鸡,7920,1,1,READY,
9656,步行炸弹,15048,炸弹宝宝,8909,1,0,READY,
9657,发条机器人,15049,发条机器人,8910,1,0,READY,
9662,精龙宝宝,15067,精龙宝宝,6294,1,1,READY,
9936,腐化猫,15648,腐化猫,9209,1,0,READY,
10259,座狼幼崽,15999,座狼幼崽,9563;9572,1,1,READY,
10598,烟网小蜘蛛,16450,烟网蜘蛛,9997,1,1,READY,
11236,红鹦鹉,17567,召唤红鹦鹉,9554,1,1,READY,
11325,熊猫宝宝,17707,熊猫宝宝,10990,1,9,READY,
11326,迷你破坏神,17708,迷你破坏神,10992,1,9,READY,
11327,跳跳虫,17709,跳跳虫,10993,1,9,READY,
12257,机械雪人,19363,召唤机械雪人,10269,1,1,READY,
12419,逼真的蟾蜍,19772,逼真的蟾蜍,901,1,0,READY,
14421,棕色土拨鼠,10709,土拨鼠,1072,1,0,READY,
14629,圆头钳嘴龟,23429,圆头钳嘴龟,14657,1,0,READY,
14630,硬皮钳嘴龟,23431,硬皮钳嘴龟,14658,0,0,READY,
14631,绿色钳嘴龟,23430,绿色钳嘴龟,14659,0,0,READY,
14632,鹰喙钳嘴龟,23432,鹰喙钳嘴龟,14660,0,0,READY,
14633,白色钳嘴龟,23428,白色钳嘴龟,14661,0,0,READY,
14755,绿色小神龙,23531,绿色小神龙,14778,1,0,READY,
14756,红色小神龙,23530,红色小神龙,14779,1,0,READY,
14878,加布林,23811,加布林,14938,1,0,READY,
15186,奔波尔霸,24696,小鱼人,15369,1,1,READY,
15356,蓝色小鱼人,24985,召唤小鱼人（蓝色）,15393,0,0,READY,
15357,紫色小鱼人,24990,召唤小鱼人（紫色）,15397,0,0,READY,
15358,乐奇,24988,小鱼人,15398,1,0,READY,
15359,粉色小鱼人,24989,召唤小鱼人（粉色）,15396,0,0,READY,
15360,绿色小鱼人,24986,召唤小鱼人（绿色）,15394,0,0,READY,
15361,霸波尔奔,24987;25018,召唤小鱼人（橙色）;小鱼人,15395,1,1,READY,
15429,恶心的软泥怪,25162,恶心的软泥怪,15436,1,0,READY,
15661,鲨鱼宝宝,25849,鲨鱼宝宝,15595,1,0,READY,
15698,冬天爷爷的助手,26533,冬天爷爷的小助手,15660,1,0,READY,
15699,安静的机械雪人,26010,安静的机械雪人,10269,1,0,READY,
15705,冬天爷爷的小助手,26541,冬天爷爷的小助手,15663,1,0,READY,
15706,冬季驯鹿,26529,冬季驯鹿,15904,1,0,READY,
15710,雪孩子,26045,雪孩子,15671,1,0,READY,
15721,机械格林奇,26067,召唤机械格林奇,15684,1,0,READY,
15901,被砍下来的触须,26391,Tentacle Call,15881,1,0,READY,
16069,咕唧,27241,咕唧,15984,1,1,READY,
16085,小匹德菲特,27570,匹德菲特,15992,1,0,READY,
16445,塔吉,28487,塔吉,15398,1,7,READY,
16456,波利,28505,波利,16189,1,1,READY,
16547,飞毛腿,28738,飞毛腿,16259,1,2,READY,
16548,哼哼先生,28739,哼哼先生,16257,1,2,READY,
16549,小老鼠吱吱,28740,小老鼠吱吱,2176,1,2,READY,
16701,仲夏之魂,28871,仲夏之魂,16587,1,1,READY,
17254,白色虎崽,30152,白色虎崽,16942,1,0,READY,
17255,角鹰兽宝宝,30156,角鹰兽宝宝,16943,1,0,READY,
18381,虚空龙宝宝,32298,虚空龙宝宝,17723,1,0,READY,
18839,魔法龙虾,33050,魔法龙虾,18269,1,0,READY,
18845,善良的钳子先生,33057,召唤强大的钳子先生,17105,0,0,READY,
20408,法力龙宝宝,35156,法力龙宝宝,19600,1,0,READY,
20472,棕兔,35239,棕兔,4626,1,1,READY,
21008,黄色飞蛾,35910,黄色飞蛾,19985,1,0,READY,
21009,红色飞蛾,35909,红色飞蛾,19986,1,0,READY,
21010,蓝色飞蛾,35907,蓝色飞蛾,19987,1,0,READY,
21018,白色飞蛾,35911,白色飞蛾,19999,1,0,READY,
21055,金色龙鹰幼崽,36027,金色龙鹰幼崽,20026,1,0,READY,
21056,蓝色龙鹰幼崽,36031,蓝色龙鹰幼崽,20029,1,0,READY,
21063,银色龙鹰幼崽,36029,银色龙鹰幼崽,20037,1,0,READY,
21064,红色龙鹰幼崽,36028,红色龙鹰幼崽,20027,1,0,READY,
21076,萤火虫,36034,萤火虫,20042,1,0,READY,
22445,迷你鹦鹉,39181,迷你鹦鹉,20996,1,1,READY,
22943,鹿角小飞兔,39709,鹿角小飞兔,22349,1,2,READY,
23114,金猪,40319,金猪,21304,1,0,READY,
23198,金猪,40405,金猪,21328,1,0,READY,
23231,威利,40613,威利,21381,1,2,READY,
23234,蕉蕉,40549,蕉蕉,21362,1,0,READY,
23258,蛋蛋,40614,蛋蛋,21382,1,2,READY,
23266,小新,40634,小新,21393,1,2,READY,
23274,臭臭,40990,臭臭,16633,1,0,READY,
23909,邪恶的南瓜娃娃,42609,南瓜娃娃,21900,1,0,READY,
24388,牙牙,43697,牙牙,22388,1,0,READY,
24389,毒皮,43698,毒皮,22389,1,0,READY,
24480,魔汁,43918,魔汁,22459,1,0,READY,
24753,粉色小雷象,44369,小丸子,22629,1,0,READY,
24968,发条战士,54187,发条战士,22776,1,0,READY,
25062,迷你孢子蝠,45082,小孢子蝠,22855,1,0,READY,
25109,火箭鸡,45125,火箭鸡,22903,1,0,READY,
25110,风筝龙,45127,风筝,22966;22990;22991;22992,1,0,READY,
25146,金猪,45174,金猪,21304,1,0,READY,
25147,银猪,45175,银猪,22938,1,0,READY,
25706,灼烧元素,45890,灼烧元素,8409,1,0,READY,
26050,尼尼,46425,尼尼,23507,1,0,READY,
26056,莫莫,46426,莫莫,23506,1,0,READY,
26119,凤凰宝宝,46599,凤凰宝宝,23574,1,0,READY,
27217,竞争之魂,48406,竞争之魂,24393,1,0,READY,
27346,竞争之精华,48408,竞争之精华,24620,1,0,READY,
27914,灵魂商人,49964,灵魂商人,25002,1,0,READY,
28470,小虚空鳐,51716,小虚空鳐,25457,1,0,READY,
28513,吸血蝙蝠宝宝,51851,吸血蝙蝠宝宝,4185,1,0,READY,
28883,霜霜,52615,霜霜,28456,1,0,READY,
29089,迷你泰瑞尔,53082,迷你泰瑞尔,25900,1,0,READY,
29147,魅影精灵,53316,魅影精灵,28089,1,0,READY,
29238,天灾幽灵,53768,Haunted,26064,1,0,READY,
29726,小叽,55068,小叽,26452,1,0,READY,
30379,西部荒野小鸡,13548,农场小鸡,304,1,0,READY,
31575,巨型下水道老鼠,59250,巨型下水道老鼠,27627,1,0,READY,
32589,小食虱鸟,61348,小食虱鸟,28214,1,0,READY,
32590,白色小食虱鸟,61349,白色小食虱鸟,28215,1,0,READY,
32591,小眼镜蛇,61351,小眼镜蛇,28084,1,0,READY,
32592,始祖龙宝宝,61350,始祖龙宝宝,28217,1,0,READY,
32595,小潘,61357,小潘,28216,2,0,READY,
32643,肯瑞托魔仆,61472,肯瑞托魔仆,14273,1,0,READY,
32791,春兔,61725,春兔,6302,1,0,READY,
32818,肥胖的火鸡,61773,肥胖的火鸡,21774,1,0,READY,
32841,暴雪熊宝宝,61855,暴雪熊宝宝,16189,1,0,READY,
32939,小鹿,61991,小鹿,28397,1,0,READY,
33188,泰达希尔树苗,62491,泰达希尔树苗,28482,1,0,READY,
33194,丹莫罗熊宝宝,62508,丹莫罗熊宝宝,28489,1,0,READY,
33197,提瑞斯法蝙蝠宝宝,62510,提瑞斯法蝙蝠宝宝,4732,1,0,READY,
33198,杜隆塔尔蝎子,62513,杜隆塔尔蝎子,15470,1,0,READY,
33199,报警发条机器人,62514,报警发条机器人,14473,1,0,READY,
33200,艾尔文小羊羔,62516,艾尔文小羊羔,16205,1,0,READY,
33205,埃门谷花苗,62562,埃门谷花苗,28493,1,0,READY,
33219,莫高雷小陆行鸟,62542,莫高雷小陆行鸟,28502,1,0,READY,
33226,沙滩蟹,62561,沙滩蟹,28507,1,0,READY,
33227,魔法扫帚,62564,魔法扫帚,16910,1,0,READY,
33238,银色侍从,62609,银色侍从,28946,1,5,READY,
33239,银色小步兵,62746,银色小步兵,28948,1,5,READY,
33274,机械鸟,62674,机械鸟,28539,1,0,READY,
33529,好奇的小狼獾人,65382,好奇的小狼獾人,25384,1,0,READY,
33530,好奇的小神谕者,65381,好奇的小神谕者,25173,1,0,READY,
33578,角斗士莫叽姆斯,63318,角斗士莫叽姆斯,28734,2,0,READY,
33810,森金神像,63712,森金神像,29189,1,0,READY,
34031,XS-001建筑机器人,64351,XS-001建筑机器人,29060,1,0,READY,
34364,玳瑁猫,65358,玳瑁猫,11709,1,0,READY,
34587,战斗机器人,65682,战斗机器人,29279,1,0,READY,
34694,玛润,66030,玛润,29348,1,0,READY,
34724,幽光雏龙,66096,幽光雏龙,29372,2,0,READY,
34770,死亡木偶,66175,死亡木偶,29404,1,13,READY,
34930,碧玉虎,66520,碧玉虎,29605,0,0,READY,
35387,小塔克,67416,小塔克,29802,1,0,READY,
35394,拉扎什幼龙,67420,拉扎什幼龙,29806,1,0,READY,
35395,变异幼龙,67414,变异幼龙,29807,1,0,READY,
35396,小达尔特,67413,小达尔特,29805,1,0,READY,
35397,暴掠幼龙,67418,暴掠幼龙,29810,1,0,READY,
35398,刺喉幼龙,67419,刺喉幼龙,29808,1,0,READY,
35399,黑曜石幼龙,67417,黑曜石幼龙,29809,1,0,READY,
35400,古达克幼龙,67415,古达克幼龙,29803,1,0,READY,
35468,墨玉猎豹,67527,墨玉猎豹,29819,1,0,READY,
36482,海象人风筝,68767,海象人风筝,30157,1,0,READY,
36511,幽灵虎幼崽,68810,幽灵虎幼崽,30409,1,0,READY,
36607,奥妮克希亚龙宝宝,69002,奥妮克希亚龙宝宝,30356,1,0,READY,
36871,熔火恶犬宝宝,69452,熔火恶犬宝宝,30462,1,0,READY,
36908,狮鹫宝宝,69535,狮鹫宝宝,30412,1,0,READY,
36909,驭风者宝宝,69536,驭风者宝宝,30413,1,0,READY,
36910,紫袍玉虎,69539,紫袍玉虎,30402,0,0,READY,
36911,熊猫人僧侣,69541,熊猫人僧侣,30414,1,0,READY,
36979,小克,69677,小克,30507,1,0,READY,
37865,溜溜,70613,溜溜,31174,1,0,READY,
38374,毒毒,71840,毒毒,31073,1,0,READY,
40198,雪孩子,74932,雪孩子,31722,1,0,READY,
40295,发条战士,75134,蓝色发条战士,22778,1,0,READY,
40624,星界灵龙,75613,星界灵龙,31956,1,0,READY,
40703,小拆,75906,小拆,32031,1,0,READY,
40721,角斗士莫叽姆斯,75936,角斗士莫叽姆斯,28734,1,0,READY,
42078,迷你雷神,78381,迷你雷神,32670,1,0,READY,
