candidateKey,itemSetId,name,dbcItems,visibleMembers,appearances,classMode,decision,reasonCode
itemset:1,1,角斗士,5,5,5,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:41,41,雷德双刀,2,2,2,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:65,65,蜘蛛之吻,2,1,2,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:81,81,邮差,5,4,4,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:121,121,苍白,5,5,5,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:122,122,骨堆,5,5,5,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:123,123,血链,5,5,5,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:124,124,亡者之骨,5,5,5,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:141,141,火山,3,3,3,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:142,142,雷暴,4,4,4,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:143,143,魔暴龙护甲,2,2,2,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:144,144,铁羽护甲,2,2,2,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:161,161,迪菲亚皮甲,5,5,5,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:162,162,毒蛇的拥抱,5,5,5,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:163,163,血色十字军链甲,6,6,6,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:181,181,博学者的徽记,8,8,8,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:182,182,虔诚,8,8,8,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:183,183,鬼雾,8,8,8,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:184,184,迅影,8,8,8,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:185,185,野性之心,8,8,8,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:186,186,野兽追猎者,8,8,8,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:187,187,元素,8,8,8,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:188,188,光铸护甲,8,8,8,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:189,189,勇气,8,8,8,ANY,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:201,201,奥术师,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:202,202,预言,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:203,203,恶魔之心,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:204,204,夜幕杀手,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:205,205,塞纳里奥,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:206,206,巨人追猎者,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:207,207,大地之怒,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:208,208,秩序之源,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:209,209,力量,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:210,210,灵风,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:211,211,卓越,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:212,212,复仇,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:213,213,血牙,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:214,214,怒风,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:215,215,巨龙追猎者,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
itemset:216,216,无尽风暴,8,8,8,ALLOW_LIST,accepted,COMPLETE_VISIBLE_MAPPING_AND_RESOLVED_CLASS_POLICY
