spellId,name_enUS,creatureIds,skillLine777,hasItemSource,hasQuestSource,hasTrainerSource,decision,collectionId,reasonCode
458,Brown Horse,284,true,true,false,false,ACCEPT,100056,
459,Gray Wolf,4268,true,true,false,false,ACCEPT,100105,
468,White Stallion,305,true,true,false,false,ACCEPT,100268,
470,Black Stallion,308,true,true,false,false,ACCEPT,100027,
471,Palamino,306,true,true,false,false,ACCEPT,100145,
472,Pinto,307,true,true,false,false,ACCEPT,100146,
578,Black Wolf,356,true,true,false,false,ACCEPT,100039,
579,Red Wolf,4270,true,true,false,false,ACCEPT,100167,
580,Timber Wolf,358,true,true,false,false,ACCEPT,100246,
581,Winter Wolf,359,true,true,false,false,ACCEPT,100271,
3363,Nether Drake,16597,true,false,false,false,EXCLUDE,,UNUSED_LEGACY_NO_ACQUISITION_SOURCE
5784,Felsteed,304,true,false,true,false,ACCEPT,100083,
6648,Chestnut Mare,4269,true,true,false,false,ACCEPT,100066,
6653,Dire Wolf,4271,true,true,false,false,ACCEPT,100078,
6654,Brown Wolf,4272,true,true,false,false,ACCEPT,100061,
6777,Gray Ram,4710,true,true,false,false,ACCEPT,100104,
6896,Black Ram,4780,true,true,false,false,ACCEPT,100025,
6897,Blue Ram,4778,true,true,false,false,ACCEPT,100089,
6898,White Ram,4777,true,true,false,false,ACCEPT,100265,
6899,Brown Ram,4779,true,true,false,false,ACCEPT,100059,
8394,Striped Frostsaber,6074,true,true,false,false,ACCEPT,100185,
8395,Emerald Raptor,6075,true,true,false,false,ACCEPT,100081,
8396,Summon Ivory Tallstrider,6076,false,false,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
8980,Skeletal Horse,6486,true,true,false,false,ACCEPT,100178,
10787,Black Nightsaber,7322,false,true,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
10788,Leopard,7684,false,true,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
10789,Spotted Frostsaber,7687,true,true,false,false,ACCEPT,100181,
10790,Tiger,7686,false,true,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
10792,Spotted Panther,7689,false,true,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
10793,Striped Nightsaber,7690,true,true,false,false,ACCEPT,100186,
10795,Ivory Raptor,7706,true,true,false,false,ACCEPT,100131,
10796,Turquoise Raptor,7707,true,true,false,false,ACCEPT,100252,
10798,Obsidian Raptor,7703,true,true,false,false,ACCEPT,100140,
10799,Violet Raptor,7708,true,true,false,false,ACCEPT,100260,
10800,Summon Brown Tallstrider,7709,false,false,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
10801,Summon Gray Tallstrider,7710,false,false,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
10802,Summon Pink Tallstrider,7711,false,false,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
10803,Summon Purple Tallstrider,7712,false,false,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
10804,Summon Turquoise Tallstrider,7713,false,false,false,false,EXCLUDE,,NOT_PLAYER_MOUNT_SKILL_LINE
10873,Red Mechanostrider,7739,true,true,false,false,ACCEPT,100161,
10969,Blue Mechanostrider,7749,true,true,false,false,ACCEPT,100045,
