spellId,name_enUS,reasonCode,reason
3363,Nether Drake,UNUSED_LEGACY_NO_ACQUISITION_SOURCE,"Legacy Nether Drake action has no item, quest, or trainer acquisition source."
8396,Summon Ivory Tallstrider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
10787,Black Nightsaber,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
10788,Leopard,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
10790,Tiger,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
10792,Spotted Panther,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
10800,Summon Brown Tallstrider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
10801,Summon Gray Tallstrider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
10802,Summon Pink Tallstrider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
10803,Summon Purple Tallstrider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
10804,Summon Turquoise Tallstrider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
15780,Green Mechanostrider,SUPERSEDED_LEGACY_VARIANT,Obsolete Green Mechanostrider variant is superseded by the player-learnable action.
15781,Steel Mechanostrider,SUPERSEDED_LEGACY_VARIANT,Obsolete Steel Mechanostrider variant is superseded by the player-learnable action.
24576,Chromatic Mount,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
25675,Reindeer,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
25858,Reindeer,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
25859,Reindeer,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
25863,Black Qiraji Battle Tank,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
26332,Summon Mouth Tentacle,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
26655,Black Qiraji Battle Tank,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
28828,Nether Drake,UNUSED_LEGACY_NO_ACQUISITION_SOURCE,Duplicate legacy Nether Drake action has no acquisition source.
30829,Summon Kessel's Elekk,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
30837,Summon Kessel's Elekk,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
31700,Black Qiraji Battle Tank,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
31973,Kessel's Elekk,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
32345,Peep the Phoenix Mount,TEST_SPELL,Peep the Phoenix is a test action; Ashes of Al'ar is the production mount source.
32420,Old Crappy McWeakSauce,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
33630,Blue Mechanostrider,SUPERSEDED_LEGACY_VARIANT,Obsolete Blue Mechanostrider variant is superseded by the player-learnable action.
33631,Video Mount,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
34068,Summon Dodostrider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
39450,Tallstrider,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
39910,Riding Clefthoof,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
39949,Mount (Test Anim),NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
40212,Dragonmaw Nether Drake,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
42363,Dan's Steam Tank Form,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
42387,Dan's Steam Tank Form (Self),NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
42667,Flying Broom,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
42668,Swift Flying Broom,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
42680,Magic Broom,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
42683,Swift Magic Broom,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
42692,Rickety Magic Broom,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
42929,[DNT] Test Mount,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
43810,Frost Wyrm,NPC_OR_TEST_MOUNT,Frost Wyrm is an NPC or test mount action with no player acquisition source.
43880,Ramstein's Swift Work Ram,NOT_PLAYER_MOUNT_SKILL_LINE,Spell is not listed in the client player-mount skill line.
