candidateKey,itemSetId,active,presentationStatus,expansion,acquisition,raidTier,pvpSeason,displayLabel,difficulty,medianItemLevel,ruleKey,reasonCode
itemset:1,1,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,57,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:41,41,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,63.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:65,65,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,60.5,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:81,81,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,61,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:121,121,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,61,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:122,122,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,61,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:123,123,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,61,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:124,124,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,61,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:141,141,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,57,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:142,142,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,56.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:143,143,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,59.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:144,144,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,56.0,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:161,161,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,18,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:162,162,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,23,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:163,163,true,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,,UNKNOWN,37.5,unclassified,NO_REVIEWED_ITEMSET_PRESENTATION_RULE
itemset:181,181,true,REVIEWED,CLASSIC,PVE,T0,NONE,T0,DUNGEON,59.5,classic-dungeon-t0-mage,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T0_CLASS_SET
itemset:182,182,true,REVIEWED,CLASSIC,PVE,T0,NONE,T0,DUNGEON,59.5,classic-dungeon-t0-priest,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T0_CLASS_SET
itemset:183,183,true,REVIEWED,CLASSIC,PVE,T0,NONE,T0,DUNGEON,59.5,classic-dungeon-t0-warlock,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T0_CLASS_SET
itemset:184,184,true,REVIEWED,CLASSIC,PVE,T0,NONE,T0,DUNGEON,59.5,classic-dungeon-t0-rogue,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T0_CLASS_SET
itemset:185,185,true,REVIEWED,CLASSIC,PVE,T0,NONE,T0,DUNGEON,59.5,classic-dungeon-t0-druid,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T0_CLASS_SET
itemset:186,186,true,REVIEWED,CLASSIC,PVE,T0,NONE,T0,DUNGEON,59.5,classic-dungeon-t0-hunter,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T0_CLASS_SET
itemset:187,187,true,REVIEWED,CLASSIC,PVE,T0,NONE,T0,DUNGEON,59.5,classic-dungeon-t0-shaman,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T0_CLASS_SET
itemset:188,188,true,REVIEWED,CLASSIC,PVE,T0,NONE,T0,DUNGEON,59.5,classic-dungeon-t0-paladin,REVIEWED_ITEMSET_CLASSIC_DUNGEON_T0_CLASS_SET
