legacyId,itemId,spellId,name_zhCN,worldName_zhCN,effects,scriptNames,requiredSkill,spellCharges,clientItemPresent,clientDisplayPresent
1,17712,21848,冬幕伪装包,冬幕伪装包,6;6;0,spell_item_snowman,0,0,true,true
2,18660,23126,世界放大器,世界放大器,6;0;0,,202,0,true,true
3,18986,23453,安全传送器：加基森,安全传送器：加基森,3;0;0,spell_gen_gnomish_transporter,202,0,true,true
4,19026,11544,长蛇焰火,长蛇焰火,3;0;0,,0,-1,true,true
5,21540,26265,艾露恩的灯笼,艾露恩的灯笼,24;0;0,,0,0,true,true
6,21589,26333,大型蓝色烟花,大型蓝色烟花,86;28;0,,0,-1,true,true
7,21713,26374,艾露恩的蜡烛,艾露恩的蜡烛,3;0;0,spell_gen_elune_candle,0,-88,true,true
8,23767,30261,打架机器人,打架机器人,28;0;0,,0,0,true,true
9,23821,30427,气阀微粒提取器,气阀微粒提取器,6;0;0,,202,0,true,true
10,30542,36890,空间撕裂器 - 52区,空间撕裂器 - 52区,5;0;0,spell_item_dimensional_ripper_area52,202,0,true,true
11,32542,40527,球中的小鬼,球中的小鬼,76;0;0,,0,0,true,true
12,33223,42766,钓鱼椅,钓鱼椅,50;0;0,,0,0,true,true
13,34480,45094,浪漫午餐篮,浪漫午餐篮,76;50;64,,0,0,true,true
14,35275,46354,辛多雷宝珠,辛多雷宝珠,6;0;0,,0,0,true,true
15,36863,47770,矮人的十面骰子,矮人的十面骰,77;0;0,spell_item_decahedral_dwarven_dice,0,0,true,true
16,37254,48332,超级猴子球,超级猴子球,6;6;64,,0,0,true,true
17,38301,50317,跳舞球,跳舞球,28;64;0,,0,0,true,true
18,38506,52172,卡洛斯的著名帽子,卡洛斯的著名帽子,6;0;0,,0,0,true,true
19,38578,51640,强者的旗帜,强者的旗帜,3;0;0,spell_the_flag_of_ownership,0,0,true,true
20,40768,54710,随身邮箱,随身邮箱,50;0;0,,202,0,true,true
21,43499,58501,铁靴烈酒,铁靴烈酒,6;6;6,,0,0,true,true
22,43824,59317,奥术魔法的学派 - 精通,奥术魔法的学派 - 精通,77;0;0,spell_gen_teleporting,0,0,true,true
23,44430,60458,达拉然泰坦神铁徽记,达拉然泰坦神铁徽记,32;0;0,,0,0,true,true
24,44606,61031,玩具火车,玩具火车,50;0;0,,0,0,true,true
25,45063,62985,泡沫塑料剑架,泡沫塑料剑架,76;0;0,,0,0,true,true
26,46780,65783,食人魔皮纳塔,食人魔皮纳塔,28;0;0,,0,0,true,true
27,48933,67833,虫洞生成器：诺森德,虫洞生成器：诺森德,28;64;0,,202,0,true,true
28,49703,30161,永久紫色烟花,永久紫色焰火,76;0;0,,0,0,true,true
29,50471,71909,裂心者,裂心者,6;0;0,,0,0,true,true
30,52201,73320,穆拉丁的礼物,穆拉丁的礼物,6;0;0,,0,0,true,true
31,54651,75531,诺莫瑞根的荣耀,诺莫瑞根的荣耀,6;0;0,,0,0,true,true
32,46779,65745,塞纳留斯之路,塞纳留斯之路,6;0;0,,0,-1,true,true
33,40769,54711,废物贩卖机器人制造器,废物贩卖机器人制造器,28;0;0,,202,-1,true,true
34,49040,67826,基维斯,基维斯,28;0;0,,202,0,true,true
35,45984,64385,不寻常的指南针,不寻常的指南针,3;0;0,spell_item_unusual_compass,0,0,true,true
36,45057,62949,发条式火车破坏者,发条式火车破坏者,28;0;0,,0,0,true,true
