appearanceId,collectionKey,scope,route,modelPath,radius,width,depth,height,extentRatio,outlierReasons
200040,appearance.d1121.s22.c2.sc7,NONPUBLIC,OFFHAND_WEAPON,item\objectcomponents\weapon\sword_1h_machete_b_01.m2,0.723998,1.405818,0.061774,0.346942,22.757438,EXTREME_ASPECT_RATIO
200050,appearance.d1550.s21.c2.sc7,PUBLIC,MAINHAND,item\objectcomponents\weapon\sword_1h_long_a_02.m2,0.60358,1.207161,0.069523,0.275063,17.363477,EXTREME_ASPECT_RATIO
200052,appearance.d1628.s17.c2.sc8,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\sword_2h_claymore_a_02.m2,0.847707,1.695374,0.069523,0.25976,24.3858,EXTREME_ASPECT_RATIO
200054,appearance.d1661.s17.c2.sc10,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\misc_2h_broom_a_01.m2,1.016456,2.005708,0.066423,0.32934,30.195986,EXTREME_ASPECT_RATIO
200066,appearance.d1768.s17.c2.sc10,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\stave_2h_long_a_03.m2,1.201561,2.403121,0.049566,0.056358,48.483255,EXTREME_ASPECT_RATIO
200071,appearance.d1926.s17.c2.sc10,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\stave_2h_long_d_01.m2,1.217385,2.430926,0.10459,0.536933,23.242432,EXTREME_ASPECT_RATIO
200107,appearance.d2380.s17.c2.sc8,PUBLIC,MAINHAND,item\objectcomponents\weapon\sword_2h_claymore_a_01.m2,0.906324,1.812648,0.095631,0.396315,18.954607,EXTREME_ASPECT_RATIO
200108,appearance.d2388.s17.c2.sc10,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\stave_2h_long_a_03.m2,1.201561,2.403121,0.049566,0.056358,48.483255,EXTREME_ASPECT_RATIO
200110,appearance.d2399.s17.c2.sc8,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\sword_2h_claymore_a_02.m2,0.847707,1.695374,0.069523,0.25976,24.3858,EXTREME_ASPECT_RATIO
200135,appearance.d2786.s15.c2.sc2,NONPUBLIC,RANGED,item\objectcomponents\weapon\bow_1h_standard_a_01.m2,0.831831,1.429662,0.063541,0.550509,22.499835,EXTREME_ASPECT_RATIO
200136,appearance.d2787.s15.c2.sc2,PUBLIC,RANGED,item\objectcomponents\weapon\bow_1h_standard_a_01.m2,0.831831,1.429662,0.063541,0.550509,22.499835,EXTREME_ASPECT_RATIO
200158,appearance.d3092.s17.c2.sc8,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\sword_2h_bastard_d_01.m2,0.958051,1.916102,0.099107,0.589121,19.33367,EXTREME_ASPECT_RATIO
200165,appearance.d3185.s15.c2.sc2,NONPUBLIC,RANGED,item\objectcomponents\weapon\bow_1h_standard_a_01.m2,0.831831,1.429662,0.063541,0.550509,22.499835,EXTREME_ASPECT_RATIO
200166,appearance.d3186.s15.c2.sc2,NONPUBLIC,RANGED,item\objectcomponents\weapon\bow_1h_standard_a_01.m2,0.831831,1.429662,0.063541,0.550509,22.499835,EXTREME_ASPECT_RATIO
200167,appearance.d3187.s15.c2.sc2,NONPUBLIC,RANGED,item\objectcomponents\weapon\bow_1h_standard_c_01.m2,1.062182,1.783298,0.063583,0.663696,28.046774,EXTREME_ASPECT_RATIO
200203,appearance.d3509.s17.c2.sc10,PUBLIC,MAINHAND,item\objectcomponents\weapon\misc_2h_broom_a_01.m2,1.016456,2.005708,0.066423,0.32934,30.195986,EXTREME_ASPECT_RATIO
200249,appearance.d4129.s17.c2.sc8,PUBLIC,MAINHAND,item\objectcomponents\weapon\sword_2h_claymore_b_01.m2,0.935075,1.87015,0.065926,0.359245,28.367412,EXTREME_ASPECT_RATIO
200254,appearance.d4291.s21.c2.sc8,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\glave_1h_dualblade_c_01.m2,1.051915,2.057242,0.086785,0.440289,23.705041,EXTREME_ASPECT_RATIO
200270,appearance.d4426.s15.c2.sc2,PUBLIC,RANGED,item\objectcomponents\weapon\bow_1h_standard_c_02.m2,1.16304,1.976977,0.067398,0.617843,29.332873,EXTREME_ASPECT_RATIO
200275,appearance.d4441.s15.c2.sc2,NONPUBLIC,RANGED,item\objectcomponents\weapon\bow_1h_standard_b_02.m2,1.187731,1.958303,0.068972,0.763025,28.392725,EXTREME_ASPECT_RATIO
200327,appearance.d4802.s13.c2.sc7,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\sword_1h_machete_b_01.m2,0.723998,1.405818,0.061774,0.346942,22.757438,EXTREME_ASPECT_RATIO
200335,appearance.d4909.s17.c2.sc8,NONPUBLIC,MAINHAND,item\objectcomponents\weapon\sword_2h_claymore_a_01.m2,0.906324,1.812648,0.095631,0.396315,18.954607,EXTREME_ASPECT_RATIO
200340,appearance.d4994.s17.c2.sc10,PUBLIC,MAINHAND,item\objectcomponents\weapon\stave_2h_long_a_03.m2,1.201561,2.403121,0.049566,0.056358,48.483255,EXTREME_ASPECT_RATIO
