typeKey,collectionId,collectionKey,ordinal,lifecycle,name_enUS,name_zhCN,policyKey,sourceBuild,sourceKind,sourceId,actionKind,actionId,assetReady,assetProfile,aliases
appearance,200000,appearance.d242.s8.c4.sc0,309,active,Deprecated Dwarven 初学者的靴子,Deprecated Dwarven 初学者的靴子,unrestricted,3.3.5.12340,item,95,APPLY,95,true,wotlk_native,item:95|slot:FEET|compat:4:0|armor:ALL
appearance,200001,appearance.d245.s8.c4.sc0,310,active,Deprecated Dwarven Apprentice 靴子,Deprecated Dwarven Apprentice 靴子,unrestricted,3.3.5.12340,item,114,APPLY,114,true,wotlk_native,item:114|slot:FEET|compat:4:0|armor:ALL
appearance,200002,appearance.d249.s8.c4.sc0,311,active,OLD Dwarven 见习者的靴子,OLD Dwarven 见习者的靴子,unrestricted,3.3.5.12340,item,92,APPLY,92,true,wotlk_native,item:92|slot:FEET|compat:4:0|armor:ALL
appearance,200003,appearance.d257.s8.c4.sc0,312,active,Deprecated Dwarven 侍从的靴子,Deprecated Dwarven 侍从的靴子,unrestricted,3.3.5.12340,item,99,APPLY,99,true,wotlk_native,item:99|slot:FEET|compat:4:0|armor:ALL
appearance,200004,appearance.d261.s8.c4.sc0,313,active,Deprecated Old 靴子,Deprecated Old 靴子,unrestricted,3.3.5.12340,item,87,APPLY,87,true,wotlk_native,item:87|slot:FEET|compat:4:0|armor:ALL
appearance,200005,appearance.d295.s8.c4.sc0,314,active,Deprecated 兽人侍僧的靴子,Deprecated 兽人侍僧的靴子,unrestricted,3.3.5.12340,item,132,APPLY,132,true,wotlk_native,item:132|slot:FEET|compat:4:0|armor:ALL
appearance,200006,appearance.d311.s8.c4.sc0,315,active,Deprecated Old Leather 靴子,Deprecated Old Leather 靴子,unrestricted,3.3.5.12340,item,136,APPLY,136,true,wotlk_native,item:136|slot:FEET|compat:4:0|armor:ALL
appearance,200007,appearance.d365.s7.c4.sc1,316,active,Deprecated Dwarven Apprentice 短裤,Deprecated Dwarven Apprentice 短裤,unrestricted,3.3.5.12340,item,113,APPLY,113,true,wotlk_native,item:113|slot:LEGS|compat:4:1|armor:CLOTH
appearance,200008,appearance.d368.s7.c4.sc1,317,active,OLD Dwarven 见习者的短裤,OLD Dwarven 见习者的短裤,unrestricted,3.3.5.12340,item,91,APPLY,91,true,wotlk_native,item:91|slot:LEGS|compat:4:1|armor:CLOTH
appearance,200009,appearance.d369.s4.c4.sc0,318,active,OLD Dwarven 见习者的衬衣,OLD Dwarven 见习者的衬衣,unrestricted,3.3.5.12340,item,93,APPLY,93,true,wotlk_native,item:93|slot:SHIRT|compat:4:0|armor:ALL
appearance,200010,appearance.d370.s7.c4.sc1,319,active,Deprecated Sturdy Brown 短裤,Deprecated Sturdy Brown 短裤,unrestricted,3.3.5.12340,item,104,APPLY,104,true,wotlk_native,item:104|slot:LEGS|compat:4:1|armor:CLOTH
appearance,200011,appearance.d371.s4.c4.sc0,320,active,Deprecated Dwarven 新兵的衬衣,Deprecated Dwarven 新兵的衬衣,unrestricted,3.3.5.12340,item,105,APPLY,105,true,wotlk_native,item:105|slot:SHIRT|compat:4:0|armor:ALL
appearance,200012,appearance.d372.s7.c4.sc1,321,active,Deprecated Dwarven 侍从的短裤,Deprecated Dwarven 侍从的短裤,unrestricted,3.3.5.12340,item,100,APPLY,100,true,wotlk_native,item:100|slot:LEGS|compat:4:1|armor:CLOTH
appearance,200013,appearance.d373.s4.c4.sc0,322,active,Deprecated Dwarven 侍从的衬衣,Deprecated Dwarven 侍从的衬衣,unrestricted,3.3.5.12340,item,101,APPLY,101,true,wotlk_native,item:101|slot:SHIRT|compat:4:0|armor:ALL
appearance,200014,appearance.d374.s7.c4.sc1,323,active,Deprecated Old 短裤,Deprecated Old 短裤,unrestricted,3.3.5.12340,item,88,APPLY,88,true,wotlk_native,item:88|slot:LEGS|compat:4:1|armor:CLOTH
appearance,200015,appearance.d383.s4.c4.sc0,324,active,Deprecated 兽人 Apprentice 衬衣,Deprecated 兽人 Apprentice 衬衣,unrestricted,3.3.5.12340,item,123,APPLY,123,true,wotlk_native,item:123|slot:SHIRT|compat:4:0|armor:ALL
appearance,200016,appearance.d386.s7.c4.sc1,325,active,Deprecated Stiff Leather 短裤,Deprecated Stiff Leather 短裤,unrestricted,3.3.5.12340,item,135,APPLY,135,true,wotlk_native,item:135|slot:LEGS|compat:4:1|armor:CLOTH
appearance,200017,appearance.d387.s4.c4.sc0,326,active,Deprecated Stiff Leather 衬衣,Deprecated Stiff Leather 衬衣,unrestricted,3.3.5.12340,item,134,APPLY,134,true,wotlk_native,item:134|slot:SHIRT|compat:4:0|armor:ALL
appearance,200018,appearance.d392.s7.c4.sc1,327,active,Deprecated 牛头人 Apprentice 短裤,Deprecated 牛头人 Apprentice 短裤,unrestricted,3.3.5.12340,item,150,APPLY,150,true,wotlk_native,item:150|slot:LEGS|compat:4:1|armor:CLOTH
appearance,200019,appearance.d393.s4.c4.sc0,328,active,Deprecated 牛头人 Apprentice 衬衣,Deprecated 牛头人 Apprentice 衬衣,unrestricted,3.3.5.12340,item,151,APPLY,151,true,wotlk_native,item:151|slot:SHIRT|compat:4:0|armor:ALL
